sender,receiver,type,amount,fraud
959,450,TRANSFER,406.85,False
245,324,TRANSFER,469.41,False
507,980,TRANSFER,17.25,False
507,919,TRANSFER,17.25,False
507,962,TRANSFER,17.25,False
507,940,TRANSFER,17.25,False
507,765,TRANSFER,17.25,False
507,999,TRANSFER,17.25,False
507,944,TRANSFER,17.25,False
343,665,TRANSFER,429.67,False
854,58,TRANSFER,462.79,False
905,908,TRANSFER,7.31,False
905,480,TRANSFER,7.31,False
905,151,TRANSFER,7.31,False
905,361,TRANSFER,7.31,False
905,252,TRANSFER,7.31,False
905,780,TRANSFER,7.31,False
905,742,TRANSFER,7.31,False
905,951,TRANSFER,7.31,False
905,720,TRANSFER,7.31,False
905,996,TRANSFER,7.31,False
905,501,TRANSFER,7.31,False
905,843,TRANSFER,7.31,False
905,998,TRANSFER,7.31,False
905,339,TRANSFER,7.31,False
905,823,TRANSFER,7.31,False
905,912,TRANSFER,7.31,False
905,869,TRANSFER,7.31,False
905,957,TRANSFER,7.31,False
905,829,TRANSFER,7.31,False
159,143,TRANSFER,434.95,False
447,907,TRANSFER,536.51,False
259,720,TRANSFER,542.46,False
247,991,TRANSFER,455.67,False
258,125,TRANSFER,531.07,False
180,247,TRANSFER,326.75,False
641,211,TRANSFER,470.8,False
149,992,TRANSFER,433.88,False
257,320,TRANSFER,540.26,False
894,45,TRANSFER,349.45,False
590,220,TRANSFER,309.04,False
50,908,TRANSFER,560.64,False
546,634,TRANSFER,414.64,False
49,991,TRANSFER,593.51,False
657,166,TRANSFER,505.36,False
749,144,TRANSFER,572.0,False
734,709,TRANSFER,0.73,False
740,495,TRANSFER,408.86,False
557,564,TRANSFER,411.57,False
275,15,TRANSFER,198.19,False
275,435,TRANSFER,198.19,False
275,347,TRANSFER,198.19,False
275,190,TRANSFER,198.19,False
275,924,TRANSFER,198.19,False
275,948,TRANSFER,198.19,False
26,615,TRANSFER,2.43,False
520,992,TRANSFER,72.31,False
847,907,TRANSFER,402.52,False
799,819,TRANSFER,348.38,False
908,491,TRANSFER,10.38,False
908,461,TRANSFER,10.38,False
908,142,TRANSFER,10.38,False
908,793,TRANSFER,10.38,False
908,893,TRANSFER,10.38,False
908,147,TRANSFER,10.38,False
908,873,TRANSFER,10.38,False
908,895,TRANSFER,10.38,False
908,995,TRANSFER,10.38,False
908,963,TRANSFER,10.38,False
908,974,TRANSFER,10.38,False
908,425,TRANSFER,10.38,False
908,932,TRANSFER,10.38,False
908,901,TRANSFER,10.38,False
908,50,TRANSFER,10.38,False
908,727,TRANSFER,10.38,False
908,937,TRANSFER,10.38,False
908,86,TRANSFER,10.38,False
104,698,TRANSFER,27.92,False
104,997,TRANSFER,27.92,False
104,606,TRANSFER,27.92,False
104,461,TRANSFER,27.92,False
950,69,TRANSFER,514.09,False
486,990,TRANSFER,283.13,False
859,286,TRANSFER,564.34,False
891,12,TRANSFER,235.38,False
852,919,TRANSFER,590.66,False
166,929,TRANSFER,183.77,False
166,225,TRANSFER,183.77,False
166,657,TRANSFER,183.77,False
166,998,TRANSFER,183.77,False
166,669,TRANSFER,183.77,False
160,993,TRANSFER,147.16,False
160,347,TRANSFER,147.16,False
160,821,TRANSFER,147.16,False
160,725,TRANSFER,147.16,False
160,939,TRANSFER,147.16,False
454,992,TRANSFER,574.51,False
354,983,TRANSFER,521.95,False
304,991,TRANSFER,32.9,False
304,553,TRANSFER,32.9,False
304,545,TRANSFER,32.9,False
304,436,TRANSFER,32.9,False
304,756,TRANSFER,32.9,False
304,856,TRANSFER,32.9,False
446,287,TRANSFER,424.85,False
941,196,TRANSFER,480.94,False
949,77,TRANSFER,554.58,False
148,861,TRANSFER,583.7,False
47,899,TRANSFER,513.5,False
42,865,TRANSFER,573.52,False
754,892,TRANSFER,586.84,False
612,496,TRANSFER,19.94,False
612,520,TRANSFER,19.94,False
612,367,TRANSFER,19.94,False
612,304,TRANSFER,19.94,False
612,997,TRANSFER,19.94,False
612,889,TRANSFER,19.94,False
612,957,TRANSFER,19.94,False
612,271,TRANSFER,19.94,False
750,287,TRANSFER,450.92,False
676,991,TRANSFER,116.83,False
676,992,TRANSFER,116.83,False
676,662,TRANSFER,116.83,False
676,883,TRANSFER,116.83,False
676,621,TRANSFER,116.83,False
676,799,TRANSFER,116.83,False
676,817,TRANSFER,116.83,False
676,708,TRANSFER,116.83,False
442,684,TRANSFER,522.02,False
46,963,TRANSFER,438.2,False
966,190,TRANSFER,152.92,False
966,192,TRANSFER,152.92,False
966,230,TRANSFER,152.92,False
